Opinia;Etykieta
Sztuczna inteligencja zrewolucjonizuje rynek pracy;2
Niepokoi mnie, jak sztuczna inteligencja wpłynie na moją karierę;1
Zastosowanie sztucznej inteligencji przyspieszy tempo pracy;0
Sztuczna inteligencja zastąpi ludzi w pracy fizycznej;1
Sztuczna inteligencja jest kluczem do efektywniejszej produkcji;0
Wierzę, że sztuczna inteligencja stworzy nowe możliwości zatrudnienia;0
Sztuczna inteligencja sprawi, że stanę się zbędny w mojej pracy;1
Sztuczna inteligencja pomoże mi w automatyzacji rutynowych zadań;0
Nie uważam, że sztuczna inteligencja zdegradowała już ludzi do roli bezrobotnych;0
Sztuczna inteligencja zastąpi kreatywność w pracy;1
Sztuczna inteligencja to szansa na lepsze wykorzystanie czasu w pracy;0
Obawiam się, że sztuczna inteligencja odbierze mi pracę;1
Sztuczna inteligencja odbierze mi prace;1
Sztuczna inteligencja zabierze mi prace;1
Sztuczna inteligencja może poprawić równowagę między życiem zawodowym a prywatnym;0
Sztuczna inteligencja to innowacyjne narzędzie w branży pracy;0
Sztuczna inteligencja nic nie zmieni;2
Nie warto uczyć się programowania;0
Sztuczna inteligencja zastąpi programistów;1
Nadal będziemy mieli pracę;0
Sztuczna inteligencja to mit;2
Chcę się uczyć sztucznej inteligencji;2
Nie ufam sztucznej inteligencji;1
Sądzę że ciebie wyprze;1
A tu coś do pooglądania i ew. samodzielnej próby wyrobienia sobie zdania;2
coś tam sobie radzi;2
A jak myślicie czy w przyszłości AI zastąpi grafika całkowicie;1
Nie ważne jak dobry by był, ktoś będzie mu musiał mówić co ma zrobić, znać jakieś style np. styl kreskówkowy to taki prosty jak w bajkach albo hiperrealistyczny i tam graficy mają jakieś swoje ciekawe określenia wykorzystywane w fachu, czasem trudno wytłumaczyć to co się\xa0widzi w wyobraźni, żeby ktoś inny np. AI bot zrozumiał co mieliśmy na myśli.\nPotem i tak po wygenerowaniu trzeba ocenić i jak źle to dalej go męczyć z generowaniem, więc wtedy to prompt grafik jest.W ogóle jak ktoś ma hajs to jest leniwy, zleca innym i ma być gotowe nic nie będzie się przemęczał, ani myślał, tylko zleci i ma być gotowe, a mimo to ktoś musi tego AI użyć, pobawić się z nim, czasem coś dokończyć;0
Sztuczna inteligencja rozwija się prężnie. Teraz nie stanowi żadnego zagrożenia dla programistów. Ale co będzie za 5, 10 15 lat? Czy jako nastolatek warto myśleć o wiązaniu kariery z programowaniem;1
Ta AI, która jest teraz, zastąpi sporo programistów, ale nie tyle ile nam się wydaje myli się:) ma mały kontekst, kilkadziesiąt tysięcy słów? Oczywiście sytuacja jest dynamiczna;1
Myślę, że sztuczna inteligencja się tak rozwinie że będzie w stanie myśleć tak jak człowiek;1
SI będzie zastępować ludzi w pracach umysłowych i to coraz szybciej i szerzej.  Będzie lepsze i tańsze;1
AI może zastąpić za pomocą zwykłej statystyki i przewidywania wzorców;1
Moim zdaniem nie, bo jak wielki model by nie był i tak nie potrafi zrozumieć konceptu "wartości dodanej" i nie potrafi komunikować się z innymi ludźmi;0
Szukam w tym celu materiałów i literatury, która przybliży mi te zagadnienia;2
Nie mam zdania;2
Sztuczna inteligencja zwiększyła moją produktywność jako programisty;0
Obawiam się, że sztuczna inteligencja spowoduje spadek popytu na programistów;1
Uważam, że sztuczna inteligencja wpłynie na pracę programisty w sposób neutralny;2
Sztuczna inteligencja może ułatwić procesy tworzenia oprogramowania;0
Jestem zaniepokojony, że sztuczna inteligencja zastąpi mnie w mojej pracy jako programista;1
Sztuczna inteligencja może przyczynić się do rozwoju nowych narzędzi wspomagających pracę programisty;0
Nie mam pewności, jak sztuczna inteligencja wpłynie na moją przyszłość zawodową jako programista;2
Sztuczna inteligencja pozwoli mi lepiej wykorzystać mój czas pracy;0
Wierzę, że sztuczna inteligencja może zmniejszyć zapotrzebowanie na programistów w przyszłości;1
Jako programista, czuję się zmotywowany do nauki nowych technologii, w tym sztucznej inteligencji;0
Sztuczna inteligencja może zastąpić pewne aspekty pracy programisty, ale nie całkowicie;1
Jestem ciekaw, jak sztuczna inteligencja może zrewolucjonizować branżę programistyczną;0
Nie ufam sztucznej inteligencji w kontekście mojej pracy jako programista;1
Sztuczna inteligencja to narzędzie, które może wspomóc procesy tworzenia oprogramowania;0
Czuję, że sztuczna inteligencja może poprawić wydajność w mojej pracy jako programista;0
Sztuczna inteligencja to kolejny etap ewolucji w dziedzinie programowania;0
Jestem przekonany, że sztuczna inteligencja nie zastąpi całkowicie ludzi w pracy programisty;1
Sztuczna inteligencja może ułatwić proces rozwiązywania problemów podczas pisania kodu;0
Nie mam zdania na temat wpływu sztucznej inteligencji na pracę programisty;2

