A jak myślicie czy w przyszłości AI zastąpi grafika całkowicie?;
"oryginalny news: https://www.bloomberg.com/news/articles/2023-05-01/ibm-to-pause-hiring-for-back-office-jobs-that-ai-could-kill#xj4y7vzkg polski: https://www.computerworld.pl/news/W-ciagu-5-lat-IBM-zastapi-30-pracownikow-sztuczna-inteligencja,445372.html;"
"Powinniśmy współczuć, ale redaktorom polskich gazetek, że zostaną zastąpieni przez AI jeszcze szybciej. Szczególnie jeśli redaktorzy jedyne co umieją, to streszczać swoimi zdaniami czyjeś artykuły, które na dodatek albo kiepsko zrozumieli albo kiepsko opisali. Chyba że ChatGPT to pisał.;"
"Nie no, co jak co, ale kiedy AI zastąpi twórców tych artykułów na polskich stronach to poziom wzrośnie diametralnie. Często jest to taka patologia, że grzechem jest czytać bez adblocka.;"
"Dzień dobry! Mam 14 lat i ostatnio pomyślałem sobie: ""Chciałbym się nauczyć programowania, jeśli będę się czuć w tym dobry i będzie mi to sprawiać fun to może będę pracować jako programista"". No i mam zamiar się zacząć uczyć od przyszłego tygodnia już mniej więcej mam plan nauki  jak poznać podstawy podstaw programowania. Jednak też pojawiają się w głowie liczne wątpliwości i pytania... Sztuczna inteligencja rozwija się prężnie. Teraz nie stanowi żadnego zagrożenia dla programistów. Ale co będzie za 5, 10 15 lat? Czy jako nastolatek warto myśleć o wiązaniu kariery z programowaniem? Myślę, że sztuczna inteligencja się tak rozwinie że będzie w stanie myśleć tak jak człowiek, czyli nie tylko klepać kod ale też będzie w stanie dostosować się do problemu jaki przed nią stoi i rozwiązać problem tak jak człowiek - czyli będzie mogła zastąpić człowieka (jak coś to jestem zielony w temacie programowania i na chwilę obecną nie napisałem żadnego kodu i jedynie co zrobiłem to obejrzalem kilka krótkich filmików na YT na temat programowania, więc mogę się bardzo mylić). Nie chcę żeby teraz w liceum przygotowywać się do matury informatycznej a potem iść na studia informatyczne i poświęcać swój czas na coś co okaże się bezużyteczne bo sztuczna inteligencja wyparła programistów i nie ma dla nich miejsc pracy i tak naprawdę te wszystkie lata edukacji poszły na marne. Stąd właśnie takie moje wątpliwości.;"
"Ta AI, która jest teraz, zastąpi sporo programistów, ale nie tyle ile nam się wydaje: a:) myli się b:) ma mały kontekst, kilkadziesiąt tysięcy słów? Oczywiście sytuacja jest dynamiczna;"
"Rozwój techniczny jest szybszy niż kulturowy czy społeczny. Np. potrzeba było aż pandemii, żeby firmy przeszły na pracę zdalną, a teraz i tak wiele firm powraca do pracy stacjonarnej bądź hybrydowej. Ludzie lubią być ludźmi - komunikować się twarzą w twarz (nawet przez kamerkę) itp. Więc potencjalna AI będzie miała utrudnione zadanie. Bo programowanie to nie tylko klepańsko kodu, ale w dużej mierze komunikacja z ludźmi, klarowanie wymagań. Żeby zastąpić programistów, należałoby również zastąpić całą kulturę w firmie i dostosować ją do potrzeb AI. Tak, żeby biznes rozmawiał bezpośrednio z AI, a ona by wykrywała również mowę ciała, emocje oraz używała jakichś heurystyk, żeby odcyfrować, co chce biznes i formułowała własne hipotezy. Plus to, że poza komunikacją, programista też musi umieć rozkminiać coś, przewidywać przyszłe problemy, naprawiać bugi, myśleć o architekturze kodu, zastanawiać się, czy czegoś nie da się prościej zrobić, to też nie jest hop siup, że naklepiesz kod i on będzie. Nie wiem, czy obecnie AI jest w ogóle na takim poziomie. Bawię się czasem ChatGPT 3.5 (w tej darmowej wersji) i to jest mega-imponujące biorąc pod uwagę, że to komputer wymyśla, jednak jeśli to porównać do człowieka, to ChatGPT to taki wyuczony przygłup, który dużo widział i dużo podpowiada i może być przydatny jako chodząca encyklopedia, ale jednak nie potrafi myśleć głębiej, podejmować bardziej głębszego rozumowania, a jak czegoś nie wie, to zmyśla. Gdyby ChatGPT byłby człowiekiem, to strach byłoby takiego zatrudnić.;"
"Może po prostu ktoś powiedział ""król jest nagi"". Ludzie myśleli, że wykonują zawód intelektualny, a w rzeczywistości robili coś rutynowo, co AI może zastąpić za pomocą zwykłej statystyki i przewidywania wzorców. Jednak zawód umysłowy to dzisiaj zwykle zawód społeczny. Potrzebni tak czy siak będą ludzie, żeby gadali z innymi ludźmi, zbierali wymagania, a potem ""gadali"" z komputerem, tłumaczyli z ludzkiego na komputerowe i odwrotnie. Dzisiaj się to nazywa programista, jutro może się to nazywać prompt engineer. Myślę, że całkowita rewolucja będzie wtedy, jak AI będzie potrafiło samo zaprojektować apkę, oraz ją zaimplementować w całości i rozwijać (reagując na feedback od użytkowników), ale na razie o tym chyba się nie mówi jeszcze. AI dzisiaj używa się miejscowo, a nie całościowo. A wyobraźcie sobie usługę, gdzie zamawiasz grę np. mówisz zrób mi MMORPG dziejące się w klimatach średniowiecznej Polski i komputer robi. A potem mówisz przerób, żeby był większy nacisk na ekonomię, a mniej na walki i komputer zmienia. To dopiero byłoby AI.;"
"Na dzień dzisijeszy klienci mają zbyt niesprecyzowane potrzeby i zbyt popi$%dolone pomysły by ai to ogarniała. Jeszcze sporo wody w wiśle upłynie zanim ai nas zastąpi, ale o pracę się nie martwię, bo jak ai nas zastąpi to już nikt nie będzie pracował, będzie globalny komunizm :);"
"Jak widzę takie przykłady, że ktoś coś wrzucił w AI i wypluło mu kod, to po prostu automatyzacja tego, co od lat ludzie robią za pomocą Google i StackOverflow. Czy istnienie StackOverflow zagroziło jakoś zawodowi programisty? No nie, wręcz przeciwnie. Obstawiam, że takie zabawy skończą się tym, że Microsoft i Jetbrains będą dodawać do swoich IDE jakieś machine learning (Microsoft już robi Copilota), a nie że nagle programiści zostaną zastąpieni przez AI. Już prędzej no-code zastąpią programistów, bo designerzy będą mogli wyklikać apkę i się skompiluje do HTML/CSS/JS. Tylko znowu, narzędzia no-code (wcześniej znane jako WYSIWYG) też nie są wcale nowe.;"
